,pdb_id,num_interface,status
0,104l,1,Current
1,10gs,1,Current
2,117e,1,Current
3,11as,1,Current
4,11ba,1,Current
5,11bg,1,Current
6,11gs,1,Current
7,12as,1,Current
8,12e8,2,Current
9,12gs,1,Current
10,137l,1,Current
11,13gs,1,Current
12,13pk,4,Current
13,14gs,1,Current
14,150l,2,Current
15,15c8,1,Current
16,167l,1,Current
17,168l,5,Current
18,169l,5,Current
19,16gs,1,Current
20,174l,1,Current
21,175l,1,Current
22,176l,1,Current
23,17gs,1,Current
24,18gs,1,Current
25,19gs,1,Current
26,19hc,1,Current
27,1a00,5,Current
28,1a01,4,Current
29,1a02,3,Current
30,1a03,1,Current
31,1a04,1,Current
32,1a05,1,Current
33,1a07,1,Current
34,1a08,1,Current
35,1a09,1,Current
36,1a0a,1,Current
37,1a0c,6,Current
38,1a0d,6,Current
39,1a0e,1,Current
40,1a0f,1,Current
41,1a0g,1,Current
42,1a0h,4,Current
43,1a0j,5,Current
44,1a0l,4,Current
45,1a0m,1,Current
46,1a0n,1,Current
47,1a0o,4,Current
48,1a0q,1,Current
49,1a0r,2,Current
50,1a0s,3,Current
51,1a0t,3,Current
52,1a0u,4,Current
53,1a0z,5,Current
54,1a12,3,Current
55,1a14,3,Current
56,1a15,1,Current
57,1a19,1,Current
58,1a1a,1,Current
59,1a1b,1,Current
60,1a1c,1,Current
61,1a1e,1,Current
62,1a1m,2,Current
63,1a1n,2,Current
64,1a1o,2,Current
65,1a1q,1,Current
66,1a1r,5,Current
67,1a1u,1,Current
68,1a22,1,Current
69,1a25,1,Current
70,1a28,1,Current
71,1a2a,6,Current
72,1a2c,2,Current
73,1a2d,1,Current
74,1a2k,4,Current
75,1a2l,1,Current
76,1a2m,1,Current
77,1a2o,1,Current
78,1a2p,1,Current
79,1a2v,12,Current
80,1a2w,1,Current
81,1a2x,1,Current
82,1a2y,3,Current
83,1a2z,6,Current
84,1a30,1,Current
85,1a37,3,Current
86,1a38,3,Current
87,1a3a,2,Current
88,1a3b,2,Current
89,1a3e,2,Current
90,1a3f,3,Current
91,1a3g,3,Current
92,1a3i,3,Current
93,1a3j,3,Current
94,1a3l,1,Current
95,1a3n,4,Current
96,1a3o,5,Current
97,1a3q,1,Current
98,1a3r,3,Current
99,1a3w,1,Current
100,1a3y,1,Current
101,1a46,2,Current
102,1a49,9,Current
103,1a4a,1,Current
104,1a4b,1,Current
105,1a4c,2,Current
106,1a4e,6,Current
107,1a4f,1,Current
108,1a4g,1,Current
109,1a4i,1,Current
110,1a4j,2,Current
111,1a4k,2,Current
112,1a4l,2,Current
113,1a4m,2,Current
114,1a4o,4,Current
115,1a4q,1,Current
116,1a4r,1,Current
117,1a4s,6,Current
118,1a4u,1,Current
119,1a4w,2,Current
120,1a4x,1,Current
121,1a4y,3,Current
122,1a4z,6,Current
123,1a50,1,Current
124,1a52,1,Current
125,1a5a,1,Current
126,1a5b,1,Current
127,1a5c,1,Current
128,1a5f,1,Current
129,1a5g,2,Current
130,1a5h,2,Current
131,1a5k,2,Current
132,1a5l,2,Current
133,1a5m,2,Current
134,1a5n,2,Current
135,1a5o,2,Current
136,1a5s,1,Current
137,1a5u,9,Current
138,1a61,2,Current
139,1a64,1,Current
140,1a69,2,Current
141,1a6a,3,Current
142,1a6d,1,Current
143,1a6e,1,Current
144,1a6j,1,Current
145,1a6p,1,Current
146,1a6t,2,Current
147,1a6u,1,Current
148,1a6v,5,Current
149,1a6w,1,Current
150,1a6z,3,Current
151,1a71,1,Current
152,1a73,1,Current
153,1a74,1,Current
154,1a75,1,Current
155,1a78,1,Current
156,1a79,5,Current
157,1a7a,1,Current
158,1a7b,6,Current
159,1a7c,2,Current
160,1a7f,1,Current
161,1a7h,1,Current
162,1a7k,6,Current
163,1a7l,1,Current
164,1a7n,1,Current
165,1a7o,1,Current
166,1a7p,1,Current
167,1a7q,1,Current
168,1a7r,1,Current
169,1a7v,1,Current
170,1a7x,1,Current
171,1a81,12,Current
172,1a88,3,Current
173,1a8g,1,Current
174,1a8j,1,Current
175,1a8k,3,Current
176,1a8m,3,Current
177,1a8r,15,Current
178,1a8t,1,Current
179,1a8v,1,Current
180,1a92,2,Current
181,1a93,1,Current
182,1a94,3,Current
183,1a95,6,Current
184,1a96,6,Current
185,1a97,6,Current
186,1a98,1,Current
187,1a99,2,Current
188,1a9b,4,Current
189,1a9c,15,Current
190,1a9e,2,Current
191,1a9m,1,Current
192,1a9n,3,Current
193,1a9w,5,Current
194,1a9x,8,Current
195,1aa1,16,Current
196,1aa7,1,Current
197,1aal,1,Current
198,1aap,1,Current
199,1aaq,1,Current
200,1aar,1,Current
201,1aat,1,Current
202,1aaz,1,Current
203,1ab8,1,Current
204,1ab9,3,Current
205,1abb,6,Current
206,1abi,2,Current
207,1abj,1,Current
208,1abo,3,Current
209,1abr,1,Current
210,1abt,1,Current
211,1abw,2,Current
212,1aby,2,Current
213,1ac1,1,Current
214,1ac6,1,Current
215,1acb,1,Current
216,1acm,3,Current
217,1acv,1,Current
218,1acy,2,Current
219,1ad0,3,Current
220,1ad1,1,Current
221,1ad3,1,Current
222,1ad4,1,Current
223,1ad5,1,Current
224,1ad8,2,Current
225,1ad9,3,Current
226,1adb,1,Current
227,1adc,1,Current
228,1ade,1,Current
229,1adi,1,Current
230,1adj,3,Current
231,1ado,4,Current
232,1adq,2,Current
233,1adu,1,Current
234,1adv,1,Current
235,1adw,1,Current
236,1ady,3,Current
237,1ae1,1,Current
238,1ae6,1,Current
239,1ae8,2,Current
240,1ae9,1,Current
241,1aei,9,Current
242,1aer,1,Current
243,1af6,3,Current
244,1afa,3,Current
245,1afb,3,Current
246,1afd,3,Current
247,1afe,2,Current
248,1afo,1,Current
249,1afq,2,Current
250,1afr,9,Current
251,1afs,1,Current
252,1afv,7,Current
253,1afw,1,Current
254,1ag1,1,Current
255,1ag8,6,Current
256,1ag9,1,Current
257,1agb,2,Current
258,1agc,2,Current
259,1agd,2,Current
260,1age,2,Current
261,1agf,2,Current
262,1agn,2,Current
263,1agq,3,Current
264,1agr,3,Current
265,1agw,1,Current
266,1ah8,1,Current
267,1ahe,1,Current
268,1ahf,1,Current
269,1ahg,1,Current
270,1ahh,1,Current
271,1ahi,1,Current
272,1ahj,4,Current
273,1ahp,1,Current
274,1ahs,3,Current
275,1aht,2,Current
276,1ahu,1,Current
277,1ahv,1,Current
278,1ahw,7,Current
279,1ahx,1,Current
280,1ahy,1,Current
281,1ahz,1,Current
282,1ai0,9,Current
283,1ai1,1,Current
284,1ai4,1,Current
285,1ai5,1,Current
286,1ai6,1,Current
287,1ai7,1,Current
288,1ai8,2,Current
289,1ai9,1,Current
290,1aia,1,Current
291,1aib,1,Current
292,1aic,1,Current
293,1aid,1,Current
294,1aif,3,Current
295,1aig,6,Current
296,1aih,3,Current
297,1aij,6,Current
298,1aik,1,Current
299,1aip,11,Current
300,1aiq,1,Current
301,1ais,1,Current
302,1aix,2,Current
303,1aiy,9,Current
304,1aiz,1,Current
305,1aj7,1,Current
306,1aj8,1,Current
307,1aj9,1,Current
308,1aja,1,Current
309,1ajb,1,Current
310,1ajc,1,Current
311,1ajd,1,Current
312,1ajk,1,Current
313,1ajn,1,Current
314,1ajo,1,Current
315,1ajp,1,Current
316,1ajq,1,Current
317,1ajr,1,Current
318,1ajs,1,Current
319,1ajv,1,Current
320,1ajx,1,Current
321,1ajy,1,Current
322,1ak4,3,Current
323,1aka,1,Current
324,1ake,1,Current
325,1akh,1,Current
326,1akj,5,Current
327,1akm,3,Current
328,1aks,1,Current
329,1al0,7,Current
330,1al2,7,Current
331,1al4,1,Current
332,1alh,1,Current
333,1ali,1,Current
334,1alj,1,Current
335,1alk,1,Current
336,1all,1,Current
337,1alv,1,Current
338,1alw,1,Current
339,1alx,1,Current
340,1alz,1,Current
341,1am4,5,Current
342,1am7,2,Current
343,1am9,2,Current
344,1amh,1,Current
345,1amo,1,Current
346,1amu,1,Current
347,1an1,1,Current
348,1an4,1,Current
349,1an5,1,Current
350,1an7,1,Current
351,1an9,1,Current
352,1ani,1,Current
353,1anj,1,Current
354,1ank,1,Current
355,1ant,1,Current
356,1anw,1,Current
357,1ao0,4,Current
358,1ao3,1,Current
359,1ao5,1,Current
360,1ao6,1,Current
361,1ao7,6,Current
362,1aoc,1,Current
363,1aoe,1,Current
364,1aof,1,Current
365,1aog,1,Current
366,1aoh,1,Current
367,1aoi,12,Current
368,1aoj,1,Current
369,1aok,1,Current
370,1aom,1,Current
371,1aon,28,Current
372,1aoq,1,Current
373,1aor,1,Current
374,1aos,1,Current
375,1aox,1,Current
376,1aoz,1,Current
377,1ap2,4,Current
378,1ap5,1,Current
379,1ap6,1,Current
380,1aph,1,Current
381,1apm,1,Current
382,1apn,1,Current
383,1apx,4,Current
384,1apy,6,Current
385,1apz,6,Current
386,1aq0,1,Current
387,1aq3,3,Current
388,1aq4,3,Current
389,1aq5,3,Current
390,1aq6,1,Current
391,1aq8,3,Current
392,1aqc,3,Current
393,1aqd,17,Current
394,1aqf,8,Current
395,1aqi,1,Current
396,1aqj,1,Current
397,1aqk,1,Current
398,1aql,1,Current
399,1aqu,1,Current
400,1aqv,1,Current
401,1aqw,3,Current
402,1aqx,2,Current
403,1aqy,1,Current
404,1aqz,1,Current
405,1ar0,1,Current
406,1ar1,4,Current
407,1ar4,1,Current
408,1ar5,1,Current
409,1ar6,7,Current
410,1ar7,7,Current
411,1ar8,7,Current
412,1ar9,7,Current
413,1arg,1,Current
414,1arh,1,Current
415,1ari,1,Current
416,1aro,1,Current
417,1arq,1,Current
418,1arr,1,Current
419,1arz,4,Current
420,1as4,1,Current
421,1as6,3,Current
422,1as7,3,Current
423,1as8,3,Current
424,1asj,7,Current
425,1ask,1,Current
426,1asl,1,Current
427,1asm,1,Current
428,1asn,1,Current
429,1aso,1,Current
430,1asp,1,Current
431,1asq,1,Current
432,1asy,1,Current
433,1asz,1,Current
434,1at1,3,Current
435,1at3,1,Current
436,1ath,1,Current
437,1ati,3,Current
438,1atj,5,Current
439,1atl,1,Current
440,1atn,1,Current
441,1atp,1,Current
442,1atz,1,Current
443,1au1,1,Current
444,1au7,1,Current
445,1aug,4,Current
446,1aui,1,Current
447,1auo,1,Current
448,1aur,1,Current
449,1aus,16,Current
450,1aut,1,Current
451,1auu,1,Current
452,1auv,1,Current
453,1auw,6,Current
454,1aux,1,Current
455,1auy,3,Current
456,1av1,6,Current
457,1av2,2,Current
458,1av5,1,Current
459,1av8,1,Current
460,1ava,2,Current
461,1avb,1,Current
462,1avf,2,Current
463,1avg,2,Current
464,1avm,1,Current
465,1avo,28,Current
466,1avp,1,Current
467,1avq,3,Current
468,1avs,1,Current
469,1avw,1,Current
470,1avx,1,Current
471,1avz,2,Current
472,1aw1,5,Current
473,1aw2,5,Current
474,1aw7,3,Current
475,1aw8,5,Current
476,1awb,1,Current
477,1awc,1,Current
478,1awf,2,Current
479,1awh,3,Current
480,1awi,2,Current
481,1awp,1,Current
482,1awq,1,Current
483,1awr,6,Current
484,1aws,1,Current
485,1awt,6,Current
486,1awu,1,Current
487,1awv,6,Current
488,1ax4,6,Current
489,1axa,1,Current
490,1axc,6,Current
491,1axd,1,Current
492,1axe,1,Current
493,1axg,2,Current
494,1axi,1,Current
495,1axs,2,Current
496,1axt,1,Current
497,1axw,1,Current
498,1ay0,1,Current
499,1ay1,1,Current
500,1ay4,1,Current
501,1ay5,1,Current
502,1ay6,2,Current
503,1ay7,1,Current
504,1ay8,1,Current
505,1ay9,1,Current
506,1aya,2,Current
507,1ayb,1,Current
508,1ayf,1,Current
509,1aym,5,Current
510,1ayn,5,Current
511,1ayo,1,Current
512,1ayp,6,Current
513,1ayr,4,Current
514,1ayy,5,Current
515,1az0,1,Current
516,1az3,1,Current
517,1az4,1,Current
518,1azb,1,Current
519,1azc,1,Current
520,1azd,4,Current
521,1aze,1,Current
522,1azg,1,Current
523,1azn,3,Current
524,1azr,6,Current
525,1azs,2,Current
526,1azt,1,Current
527,1azv,1,Current
528,1azw,1,Current
529,1azx,1,Current
530,1azy,1,Current
531,1azz,5,Current
532,1b00,1,Current
533,1b01,1,Current
534,1b04,1,Current
535,1b06,7,Current
536,1b07,1,Current
537,1b08,3,Current
538,1b09,5,Current
539,1b0c,5,Current
540,1b0g,4,Current
541,1b0n,1,Current
542,1b0p,1,Current
543,1b0r,2,Current
544,1b0v,3,Current
545,1b12,3,Current
546,1b14,1,Current
547,1b15,1,Current
548,1b16,1,Current
549,1b17,1,Current
550,1b18,1,Current
551,1b19,1,Current
552,1b1z,6,Current
553,1b25,4,Current
554,1b26,9,Current
555,1b27,5,Current
556,1b28,1,Current
557,1b2a,1,Current
558,1b2b,1,Current
559,1b2c,1,Current
560,1b2d,1,Current
561,1b2e,1,Current
562,1b2f,1,Current
563,1b2g,1,Current
564,1b2k,1,Current
565,1b2m,1,Current
566,1b2p,1,Current
567,1b2s,5,Current
568,1b2u,5,Current
569,1b2w,1,Current
570,1b2x,1,Current
571,1b2z,1,Current
572,1b33,21,Current
573,1b34,1,Current
574,1b35,3,Current
575,1b37,1,Current
576,1b3a,1,Current
577,1b3b,9,Current
578,1b3d,1,Current
579,1b3k,3,Current
580,1b3o,1,Current
581,1b3q,1,Current
582,1b3r,6,Current
583,1b3s,5,Current
584,1b3t,1,Current
585,1b3u,1,Current
586,1b41,1,Current
587,1b43,1,Current
588,1b44,5,Current
589,1b47,2,Current
590,1b48,1,Current
591,1b49,1,Current
592,1b4a,9,Current
593,1b4b,3,Current
594,1b4c,1,Current
595,1b4f,4,Current
596,1b4j,1,Current
597,1b4k,1,Current
598,1b4n,4,Current
599,1b4s,3,Current
600,1b4u,5,Current
601,1b4w,5,Current
602,1b50,1,Current
603,1b53,1,Current
604,1b55,1,Current
605,1b57,1,Current
606,1b5d,1,Current
607,1b5e,1,Current
608,1b5f,3,Current
609,1b5g,2,Current
610,1b5o,1,Current
611,1b5p,1,Current
612,1b5q,1,Current
613,1b5t,1,Current
614,1b5z,1,Current
615,1b65,8,Current
616,1b67,1,Current
617,1b6b,1,Current
618,1b6c,5,Current
619,1b6d,1,Current
620,1b6j,1,Current
621,1b6k,1,Current
622,1b6l,1,Current
623,1b6m,1,Current
624,1b6p,1,Current
625,1b6s,3,Current
626,1b6t,1,Current
627,1b70,1,Current
628,1b72,1,Current
629,1b76,1,Current
630,1b77,3,Current
631,1b78,1,Current
632,1b79,1,Current
633,1b7a,1,Current
634,1b7b,2,Current
635,1b7g,1,Current
636,1b7t,3,Current
637,1b7x,1,Current
638,1b7y,1,Current
639,1b86,4,Current
640,1b88,1,Current
641,1b8a,1,Current
642,1b8c,1,Current
643,1b8d,5,Current
644,1b8g,1,Current
645,1b8h,4,Current
646,1b8i,1,Current
647,1b8j,1,Current
648,1b8m,1,Current
649,1b8q,1,Current
650,1b8z,1,Current
651,1b93,2,Current
652,1b94,1,Current
653,1b95,1,Current
654,1b96,1,Current
655,1b97,1,Current
656,1b98,1,Current
657,1b99,9,Current
658,1b9b,1,Current
659,1b9c,3,Current
660,1b9e,3,Current
661,1b9l,12,Current
662,1b9m,1,Current
663,1b9n,1,Current
664,1b9x,2,Current
665,1b9y,2,Current
666,1ba2,1,Current
667,1ba7,1,Current
668,1ba8,2,Current
669,1bab,5,Current
670,1baf,1,Current
671,1bai,1,Current
672,1ban,1,Current
673,1bao,2,Current
674,1bar,1,Current
675,1bav,2,Current
676,1baw,3,Current
677,1bay,1,Current
678,1baz,3,Current
679,1bb0,2,Current
680,1bb1,3,Current
681,1bb3,1,Current
682,1bb4,1,Current
